eventID,year,month,day,LatReloc,LonReloc,depthReloc,mag,LatCat,LonCat,depthCat
texnet2017zoxo,2017,12,30,31.17195,-103.26805,7.913,1.89,31.18239,-103.26705,7.648
texnet2017zpjz,2017,12,31,31.42962,-103.75414,7.939,1.55,31.42661,-103.75862,9.551
texnet2017zpqv,2017,12,31,31.27089,-103.4251,5.912,1.85,31.26952,-103.4324,5.849
texnet2017zpsb,2017,12,31,31.39338,-103.48134,2.83,1.71,31.40537,-103.47006,4.383
texnet2017zpvz,2017,12,31,31.39521,-103.48351,2.642,1.14,31.40744,-103.48053,5.232
texnet2018aads,2018,1,1,31.29903,-103.61635,6.563,1.4,31.30243,-103.61374,9.756
texnet2018aape,2018,1,1,31.36946,-103.45761,4.532,1.51,31.35803,-103.46903,3.612
texnet2018aaqo,2018,1,1,31.26454,-103.55239,7.957,1.25,31.25086,-103.55754,8.111
texnet2018aaqv,2018,1,1,31.3771,-103.45647,5.017,1.22,31.38719,-103.44405,6.157
texnet2018aazy,2018,1,1,31.29924,-103.61592,6.417,0.83,31.28796,-103.61894,5.746
texnet2018abuu,2018,1,1,31.06909,-103.48896,5.03,1.39,31.05563,-103.50221,4.615
texnet2018acwq,2018,1,2,31.22284,-103.59501,7.585,3.2,31.23374,-103.58997,7.186
texnet2018aduv,2018,1,3,31.43648,-103.76618,3.915,1.64,31.42571,-103.75003,4.203
texnet2018aela,2018,1,3,31.38958,-103.47717,4.105,1.29,31.3863,-103.48376,3.689
texnet2018aemi,2018,1,3,31.38008,-103.47061,4.562,1.4,31.38353,-103.46445,5.026
texnet2018afwt,2018,1,4,31.17053,-103.31211,5.115,2.43,31.17742,-103.3083,5.437
texnet2018afwv,2018,1,4,31.17021,-103.31205,5.088,1.85,31.17285,-103.31795,5.129
texnet2018agnp,2018,1,4,31.38146,-103.23065,6.946,2.51,31.38613,-103.22965,7.88
texnet2018ahkz,2018,1,5,31.3753,-103.46564,4.788,1.56,31.36996,-103.44595,4.589
texnet2018ahwy,2018,1,5,31.41401,-103.61065,3.767,1.16,31.41248,-103.60616,3.535
texnet2018airv,2018,1,5,31.0917,-103.53649,4.251,1.48,31.10046,-103.54499,3.072
texnet2018ajmb,2018,1,6,31.34505,-103.50258,6.508,1.59,31.34817,-103.51974,7.648
texnet2018akbp,2018,1,6,31.25947,-103.49747,8.418,1.43,31.25532,-103.49084,8.368
texnet2018akcs,2018,1,6,31.39917,-103.47531,4.122,1.45,31.39456,-103.46551,4.306
texnet2018akwt,2018,1,6,31.11268,-103.52702,3.875,1.27,31.1118,-103.52595,2.661
texnet2018alls,2018,1,7,31.07893,-103.50203,4.385,1.5,31.08826,-103.48748,4.538
texnet2018altj,2018,1,7,31.11366,-103.52895,3.832,1.38,31.10505,-103.53429,4.512
texnet2018altm,2018,1,7,31.11336,-103.52769,3.875,1.26,31.12285,-103.52342,4.409
texnet2018alxa,2018,1,7,31.18353,-103.80003,8.076,1.65,31.18478,-103.80845,9.962
texnet2018amhm,2018,1,7,31.43648,-103.7656,3.412,1.65,31.44726,-103.78175,3.124
texnet2018amvt,2018,1,8,31.21315,-103.58239,5.664,1.91,31.21903,-103.56747,8.728
texnet2018amxo,2018,1,8,31.17621,-103.83219,5.929,1.59,31.17183,-103.84696,6.157
texnet2018amyy,2018,1,8,31.18331,-103.79972,8.249,1.56,31.18206,-103.7913,6.363
texnet2018amzl,2018,1,8,31.28273,-103.56132,9.494,1.37,31.28286,-103.54218,9.474
texnet2018anju,2018,1,8,31.38471,-103.5012,4.063,1.37,31.39825,-103.47624,4.203
