UIC,API,inj_date,vol_bbls,cmpl_top,cmpl_bot,UIC_type,wtd_ft,slon,slat
000112641,47537525,2024-01-09,10703.609375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-09,19354.16796875,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-09,18477.859375,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-09,22918,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-09,10624.9609375,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-10,96,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-10,18227.208984375,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-10,12229.4892578125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-10,24813.2578125,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-10,17951.2734375,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-10,24286,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-10,10984.25,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-11,140,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-11,18096.990234375,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-11,12371.662109375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-11,24960.39453125,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-11,19281.83203125,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-11,24024,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-11,10781.03125,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-12,91,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-12,18061.001953125,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-12,12458.0078125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-12,25584.47265625,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-12,18867.24609375,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-12,24686,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-12,11093.58203125,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-13,147,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-13,18248.51171875,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-13,11922.8037109375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-13,24534.2421875,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-13,19066.01171875,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-13,24228,6540,8200,1,8304,-103.27487752,31.44260098
