network,station,longitude,latitude,affiliation,archive,location,place,elevation,enddate,startdate,label
DB,MID01,-102.2322,31.949,Unavailable,TXHUB,,"MIdland, TX",880,2021-09-16,2020-11-16,Decomissioned
DB,MID04,-101.8636,32.2189,Unavailable,TXHUB,,"Midland, TX",853,,2022-02-14,Private shared
DB,UB01,-103.2117,31.1133,Unavailable,TXHUB,,"Coyanosa,TX",844,,2020-11-16,Private shared
GM,NMP01,-103.86048,32.20476,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 01,1048,,2019-11-05,Other
GM,NMP02,-103.86139,32.08945,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 02,996,,2019-11-05,Other
GM,NMP11,-103.93155,32.00668,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S1,882.7,,2021-03-17,Other
GM,NMP12,-103.95259,32.12755,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S2,951.8,,2021-03-17,Other
GM,NMP23,-103.802893,32.167112,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S3,1049.6,,2021-06-02,Other
GM,NMP25,-103.860072,32.33787,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S5,983,,2020-08-26,Other
GM,NMP31,-103.73465,32.03585,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S1,972.8,,2021-03-18,Other
GM,NMP34,-103.68967,32.26384,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S4,1121.7,,2020-08-25,Other
GM,NMP35,-103.724675,32.352297,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S5,1071,,2021-06-01,Other
GM,NMP41,-103.596471,32.00509,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S1,959.9,,2020-08-28,Other
GM,NMP44,-103.61883,32.20474,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S4,1085.7,,2021-03-19,Other
GM,NMP45,-103.58198,32.33145,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S5,1127.4,,2021-06-01,Other
GM,NMP51,-103.421678,32.00448,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S1,975,,2021-06-02,Other
GM,NMP53,-103.431176,32.17626,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S3,1037.3,,2020-08-27,Other
TX,OG03,-102.4867,32.02737,University of Texas,TexNet,,"Odessa, TX",921,2023-11-01,2020-09-09,Decomissioned
TX,DG10,-103.488839,31.392949,University of Texas,TexNet,,"Pecos, TX",790,,2023-11-30,TexNet short period
TX,PB39,-104.060278,31.721667,Unavailable,TXHUB,,"Culberson, TX",927,,2023-11-04,TexNet portable
4O,SM03,-101.8702,32.288,,,,,863,,2023-12-09,Private shared
4O,LWM3,-103.608,31.4101,,,,,821,,2023-12-09,Private shared
4O,MG01,-101.9529289,32.4021489,,,,Martin County,856,,2023-09-30,Private shared
4O,SD01,-101.9796,32.5455,,,,,877,,1979-12-31,Private shared
